Tm,0,1,2,3,4,5,6,7,8,9,10,11,12,13,Games,Matches
KC,9,13,25,15,17,17,24,9,7,5,5,1,3,2,155,14
MIN,4,13,20,20,23,13,16,12,12,7,6,3,1,2,154,14
BAL,5,16,21,24,17,22,19,11,8,7,0,2,1,1,157,13
TEX,13,16,16,19,21,19,17,10,6,8,4,2,1,1,154,14
MIA,13,13,20,22,17,12,21,12,10,9,1,1,0,1,154,13
CHW,11,25,19,13,21,19,11,7,8,8,6,3,3,0,156,13
CIN,11,11,18,20,16,22,11,9,18,7,8,0,0,2,157,12
PIT,14,17,16,21,19,19,12,6,12,5,6,7,3,0,157,13
PHI,20,18,15,16,20,18,17,7,5,8,3,3,3,1,155,14
WSH,5,11,16,27,20,20,15,13,7,3,5,4,1,2,154,14
TOR,13,22,18,24,16,13,13,17,8,2,2,1,2,2,156,14
COL,3,11,18,19,11,12,15,21,12,15,7,5,2,2,156,14
ATL,13,17,35,26,12,14,12,12,6,3,3,2,2,0,158,13
ATH,7,9,22,12,20,19,15,6,9,13,4,4,3,4,154,14
CHC,9,10,33,20,21,18,19,6,7,5,3,1,2,1,157,14
LAA,11,21,15,19,17,15,16,15,10,5,1,3,3,0,154,13
MIL,13,24,24,26,22,15,7,10,4,4,0,2,2,0,157,12
TB,14,24,23,18,20,11,17,5,5,5,8,1,3,0,155,13
STL,13,17,15,16,21,22,19,10,6,7,6,3,1,1,158,14
NYM,9,15,30,19,21,15,14,11,7,7,2,1,2,0,158,13
HOU,10,17,16,27,14,17,9,10,12,8,6,2,5,0,155,13
BOS,19,23,18,24,24,6,15,5,14,3,3,1,0,1,157,13
SEA,10,17,25,16,15,17,18,16,9,2,4,3,0,0,154,12
NYY,18,21,25,25,18,17,12,7,3,3,3,3,1,1,157,14
SD,11,13,28,23,20,18,11,12,7,6,1,0,2,0,154,12
SF,12,15,19,21,13,20,20,9,9,6,7,0,1,3,157,13
LAD,13,22,24,24,21,14,12,10,4,6,2,0,1,2,155,13
CLE,8,20,30,24,15,16,19,8,3,6,3,3,1,2,158,14
ARI,11,16,19,26,17,17,15,14,4,4,4,3,0,2,155,13
DET,17,21,17,24,25,13,7,9,6,7,5,3,1,0,156,13
